x,y,t,h
1228,492,19.6999999999534,1156256
1221,493,3.90000000002328,1156296
1225,494,4,1156285.25
1223,495,7.79999999998836,1156288
1223,495,4,1156288
1225,494,3.90000000002328,1156285.25
1228,492,7.89999999996508,1156256
1228,493,3.90000000002328,1156257.25
1228,495,3.90000000002328,1156271.75
1227,496,7.89999999996508,1156591.75
1226,496,3.90000000002328,1156588
1225,494,4,1156285.25
1225,490,7.79999999998836,1156231.75
1225,485,4,1156216
1223,485,3.90000000002328,1156140
1226,484,3.89999999996508,1156214.5
1224,485,4,1156219.75
1223,483,3.90000000002328,1156144
1219,486,3.89999999996508,1156123.75
1316,488,215.700000000012,1202394.5
1294,502,8,1201602.5
1304,497,4,1201897.25
1289,486,4,1201277.25
1286,489,8,1201367.75
1278,498,4,1157880
1281,500,4,1201465.25
1279,501,8,1157828
1273,499,4,1157860
1273,495,4,1157948
1269,489,8,1158002.5
1267,486,4,1158033.25
1269,486,4,1158029.25
1267,489,8,1157998.5
1266,488,4,1157996
1267,492,4,1157983.75
1268,493,4,1157963.75
1268,490,4,1158004
1267,488,4,1157999.75
1268,484,4.10000000003492,1158026.5
1265,486,4,1158039.75
1268,487,4,1158031.75
1268,495,4,1157967.75
1267,499,4,1157642.5
1265,499,4,1157638.5
1267,508,4,1157727.75
1268,507,4,1157749.25
1270,506,4,1157746.5
1267,510,4,1157723.75
1268,514,4,1987996
1269,522,4,1988061.25
1269,522,4,1988061.25
1271,521,4,1988054.5
1271,519,4,1987968
1268,512,4,1987994.5
1270,510,4,1157736
1272,507,4,1157775.75
1272,509,4,1157779.75
1272,513,4,1987947.75
1274,514,8,1987938.5
1277,508,4.09999999997672,1157793.25
1275,503,4,1157840
1278,505,8,1157821.25
1277,506,4,1157815.75
1278,505,4,1157821.25
1280,509,8,1201491.75
1280,514,4,1944236
1280,515,4,1944239.75
1278,513,8,1987927.75
1278,512,4,1987926.5
1277,509,4,1157794.5
1278,511,8,1157801.25
1283,516,4,1944245.25
1282,526,4,1944306.5
1282,525,4,1944311.75
1283,533,4,1944348
1286,536,4,1944534.5
1287,536,4,1944533.25
1288,543,8,1944511.75
1292,546,4,1944820
1292,548,4,1944778.5
1293,554,4,1944759.75
1292,556,4,1944736
1290,561,4,1945447.75
1290,557,4,1944733.25
1292,558,4,1944740
1289,555,4,1944716
1290,553,4,1944711.75
1289,552,4,1944707.75
1289,547,4,1944804
1285,550,4,1944621.25
1287,544,4,1944597.25
1287,542,4,1944513.25
1285,542,8,1944519.75
1285,541,4,1944520
1286,537,4,1944535.75
1284,538,4,1944540
1285,538,4,1944541.25
1284,538,4,1944540
1285,537,4,1944536
1284,539,8,1944543.75
1285,538,4,1944541.25
1288,540,4,1944506.5
1285,543,8,1944516
1290,541,4,1944503.75
1288,541,4,1944507.75
1288,545,8,1944809.25
1288,547,4,1944805.25
1288,546,4,1944806.5
1285,551,7.90000000002328,1944620
1284,555,4,1944693.25
1285,556,4,1944673.25
1286,559,4,1944681.25
1286,563,4,1945489.25
1287,563,4,1945488
1285,567,4,1945476
1287,570,4,1945561.25
1290,569,4,1945389.25
1295,566,4,1945409.25
1292,560,4,1945434.5
1296,561,4,1945089.25
1299,560,4,1945093.25
1299,555,4,1945056
1298,555,4,1945057.25
1298,555,3.89999999996508,1945057.25
1298,556,4,1945076
1299,558,3.90000000002328,1945081.25
1297,566,3.89999999996508,1945111.75
1298,561,3.90000000002328,1945095.75
1296,566,4,1945108
1295,568,3.90000000002328,1945407.75
1295,565,7.79999999998836,1945422.5
1294,555,4,1944755.75
1291,562,3.89999999996508,1945443.75
1293,560,7.90000000002328,1945433.25
1292,563,3.90000000002328,1945439.75
1292,564,3.89999999996508,1945418.5
1293,566,7.90000000002328,1945415.75
1294,559,3.89999999996508,1944745.25
1294,558,3.90000000002328,1944744
1292,553,7.90000000002328,1944761.25
1292,553,3.89999999996508,1944761.25
1291,562,3.90000000002328,1945443.75
1292,570,7.89999999996508,1945396
1294,577,3.90000000002328,1945687.75
1292,580,3.90000000002328,1945696
1293,571,4,1945398.5
1293,566,3.89999999996508,1945415.75
1293,568,3.90000000002328,1945393.25
1292,563,4,1945439.75
1292,555,3.89999999996508,1944757.25
1293,562,3.90000000002328,1945437.25
1293,558,3.90000000002328,1944743.75
1292,558,4,1944740
1292,560,3.89999999996508,1945434.5
1290,560,3.90000000002328,1945446.5
1293,565,4,1945416
1291,579,3.89999999996508,1945674.5
1288,582,3.90000000002328,1945724
1288,575,3.90000000002328,1945365.25
1289,569,4,1945384
1289,561,3.89999999996508,1945448
1288,568,3.90000000002328,1945386.5
1290,573,3.89999999996508,1945373.25
1290,579,4,1945673.25
1291,572,3.90000000002328,1945375.75
1294,575,3.90000000002328,1945345.25
1293,573,4,1945352
1295,569,3.89999999996508,1945404
1295,567,7.90000000002328,1945408
1296,562,3.89999999996508,1945102.5
1298,566,3.90000000002328,1945112
1298,566,7.90000000002328,1945112
1299,565,3.89999999996508,1945116
1298,575,4,1945339.75
1298,571,8,1945313.25
1296,573,4,1945329.25
1296,577,4,1946537.25
1296,572,8.10000000003492,1945328
1293,573,4,1945352
1294,574,4,1945346.5
1293,577,8,1945682.5
1292,576,4,1945680
1293,581,4,1945698.5
1291,582,4,1945715.75
1291,580,4,1945717.25
1291,582,4,1945715.75
1292,585,4,1945745.25
1292,584,4,1945744
1289,585,4,1945730.5
1290,588,4,1945782.5
1289,589,4,1945784
1287,592,4,1945877.25
1286,592,4,1945876
1285,592,4,1945875.75
1283,595,4,1945866.5
1282,595,4,1945865.25
1281,594,4,1945863.75
1281,589,4,1945842.5
1279,595,4.09999999997672,1986298.5
1280,596,4,1945914.5
1280,594,4,1945860
1281,595,4,1945862.5
1283,595,8,1945866.5
1285,594,4,1945885.25
1283,597,4,1945908
1290,573,8,1945373.25
1289,602,4,1945997.25
1289,596,4,1946075.75
1287,601,8,1945982.5
1288,605,4,1946003.75
1286,600,4,1945980
1286,605,8,1945965.25
1287,604,4,1945967.75
1290,577,4,1945677.25
1288,599,8,1946069.25
1287,599,4,1945898.5
1287,589,4.09999999997672,1945806.5
