x,y,t,h
997,449,4,788120
1000,450,8,788076
1001,448,4,788073.25
1004,448,4,788058.5
1005,447,4,801190.5
1007,446,4,801195.75
1007,446,4,801195.75
1008,446,4,801364
1008,445,4,801363.75
1010,445,3.90000000002328,801373.25
1010,444,4,801374.5
1011,443,4,801354.5
1010,443,4,801355.75
1010,443,4,801355.75
1010,443,4,801355.75
1009,443,4,801356
1008,444,4,801360
1008,444,4,801360
1007,443,4,801200
1006,443,4,801203.75
1004,443,4,801205.25
1002,443,4,801163.75
1002,444,4,801182.5
1002,443,8,801163.75
1001,444,4,801169.25
838,281,51.8999999999942,826327.75
834,280,8,826342.5
831,277,4,828652
830,272,4,828668
828,273,8,828665.25
825,272,4,828611.75
821,270,4,828909.25
819,268,4,828917.25
817,269,4,828920
815,272,4,829269.25
813,272,4,829267.75
810,273,8,829261.25
808,274,4,829252
807,274,4,829233.25
806,275,4,829235.75
805,275,4,829236
806,274,4,829234.5
805,273,4,829240
805,272,4,829243.75
805,270,4,829165.25
805,268,4,829155.75
806,267,4,829147.75
807,266,4,829145.25
807,264,4,829141.25
807,263,4,829056
807,263,4,829056
806,263,8,829059.75
806,263,4,829059.75
805,263,4,829060
805,263,4,829060
804,263,4,829061.25
805,264,4,829139.75
804,264,4,829136
803,263,8,829114.5
803,264,4,829135.75
803,265,4,829132
802,266,8,829128
803,267,4,829130.5
802,269,4,829175.75
803,271,8,829168
802,273,4,829191.75
803,274,4,829193.25
802,275,4,829195.75
801,276,4,829201.25
801,277,4,829202.5
801,278,4,829207.75
802,278,4,829208
803,278,4,829211.75
804,278,4,829220
806,279,4,829225.25
805,279,4,829222.5
805,279,4,829222.5
805,280,4,829401.25
806,281,4,829399.75
806,282,4,829394.5
807,284,4,829391.75
807,285,4,829390.5
807,287,3.89999999999418,829376
808,288,3.89999999999418,828096
808,290,4,828110.5
808,291,3.89999999999418,828111.75
807,292,7.80000000001746,828037.25
807,292,4,828037.25
807,294,3.89999999999418,828035.75
810,299,7.79999999998836,827937.25
813,301,4,827912
815,303,3.90000000002328,827904
813,306,7.89999999999418,827895.75
815,311,3.89999999999418,827882.5
815,313,3.89999999999418,827668
817,314,7.89999999999418,827591.75
817,318,3.90000000002328,827645.25
817,319,3.89999999999418,827646.5
819,321,7.89999999999418,832774.5
818,323,3.89999999999418,832779.75
817,323,3.89999999999418,832780
817,323,7.90000000002328,832780
816,323,3.89999999999418,832783.75
817,323,3.89999999999418,832780
818,322,4,832776
818,323,3.89999999999418,832779.75
818,323,3.89999999999418,832779.75
820,322,3.90000000002328,832822.5
821,323,4,832820
820,325,3.89999999999418,832803.75
822,326,3.89999999999418,832808
823,328,3.89999999999418,832981.25
823,329,4,832980
824,330,3.89999999999418,832900
824,332,3.90000000002328,832954.5
825,335,3.89999999999418,832958.5
823,335,4,832960
823,337,3.89999999999418,833086.5
820,338,3.89999999999418,833078.5
819,338,3.89999999999418,833033.25
818,338,4,833032
816,337,3.90000000002328,833025.25
