x,y,t,h
948,600,4,777424
956,600,4,777264
957,604,4,777225.25
957,604,4,777225.25
961,605,3.90000000002328,779256
957,603,4,777270.5
959,607,8,777216
954,611,4,777163.75
957,611,4,777204
958,612,4,777198.5
962,608,4,779268
959,606,4,777219.75
952,602,4,777254.5
954,599,4,777339.75
950,603,4,777435.75
948,605,4,777441.25
940,601,4,777499.75
945,604,4,777465.25
944,595,4,777391.75
948,597,3.90000000002328,777353.25
945,597,4,777394.5
942,599,4,777705.25
939,607,4,777530.5
943,601,4,777492
940,604,4,777482.5
940,600,4,777498.5
953,595,4,777326.5
958,594,4,777298.5
954,595,8,777313.25
952,593,4,777323.75
951,600,4,777429.25
959,607,8,777216
959,598,3.90000000002328,777281.25
957,637,4,776866.5
959,606,8,777219.75
962,605,4,779255.75
957,608,4,777211.75
958,611,7.89999999990687,777203.75
782,732,39.3000000000466,743692
777,711,3.90000000002328,744150.5
774,733,3.90000000002328,743751.75
789,727,3.89999999990687,743556
785,737,4,743170.5
779,739,3.90000000002328,743114.5
787,744,3.90000000002328,743237.25
784,745,3.90000000002328,743233.25
789,750,4,743271.75
799,748,3.90000000002328,743343.75
793,748,3.89999999990687,743313.25
791,753,4,742548
792,752,3.90000000002328,742506.5
792,753,3.90000000002328,742507.75
793,750,3.90000000002328,743319.75
793,753,4,742504
792,752,3.90000000002328,742506.5
795,751,3.89999999990687,743322.5
794,748,4,743326.5
790,752,3.90000000002328,742550.5
787,755,7.80000000004657,742560
784,755,4,742575.75
790,755,3.90000000002328,742545.25
788,756,7.79999999993015,742538.5
791,755,4,742544
797,757,3.90000000002328,742472
793,753,7.90000000002328,742504
796,752,3.90000000002328,742490.5
796,761,3.89999999990687,742451.75
798,764,7.90000000002328,742406.5
799,765,3.90000000002328,742404
800,755,4,742159.75
802,763,7.80000000004657,742369.25
802,769,4,659117.25
803,763,3.89999999990687,742368
803,765,3.90000000002328,742390.5
800,771,4,659109.25
800,772,3.90000000002328,659098.5
800,775,3.90000000002328,659093.25
800,771,4,659109.25
800,771,3.90000000002328,659109.25
803,771,4,659104
801,768,4,659115.75
796,769,4,655697.25
801,766,4,742397.25
798,764,4,742406.5
803,763,4,742368
807,764,4,742351.75
