x,y,t,h
948,514,4,771382.5
950,514,4,771378.5
951,515,4,771376
952,517,4,771451.75
953,519,4,771454.5
954,521,4,771469.25
953,525,4,771512
953,527,4,771518.5
951,530,4,771633.25
948,533,4,771619.75
946,536,4,771814.5
942,538,4,771896
940,541,4,771851.75
938,542,4,771858.5
935,542,4,772073.25
932,543,4,772079.75
931,544,4,772111.75
929,543,4,772094.5
927,543,4,770730.5
927,543,4,770730.5
927,542,4,770731.75
927,540,4,770735.75
928,540,4,772090.5
928,538,4,772036
927,538,4,770737.25
927,536,8,770751.75
926,535,4,770753.25
925,532,4,770761.25
926,534,8,770754.5
926,532,4,770758.5
926,530,4,770808
925,531,8,770806.5
925,529,4,770802.5
924,527,4,770821.25
924,526,8,770822.5
924,527,4,770821.25
924,528,4,770800
925,529,8,770802.5
925,531,4,770806.5
926,531,4,770809.25
927,532,8,770757.25
928,533,4,772017.25
929,533,4,772018.5
931,535,4,772026.5
934,536,4,772052
938,537,4,771885.25
937,536,4,771883.75
941,536,8,771889.25
942,534,4,771906.5
943,534,4,771905.25
943,533,4,771918.5
943,533,4,771918.5
942,532,4,771916
942,531,4,771921.25
942,530,4,771922.5
940,529,4,771931.75
937,529,4,771944
935,529,4,771988
931,529,8,772004
929,530,4,772013.25
901,593,44,775064
897,593,4,775080
895,601,4,754708
892,603,8,754719.75
891,605,4,754742.5
888,608,4,754666.5
887,612,7.90000000002328,754469.25
886,613,4,754471.75
884,617,4,754553.25
882,619,4,754507.75
880,624,4,753834.5
878,627,4,754163.75
877,630,4,754151.75
875,633,4,753956
874,636,4,753972
874,637,4,753975.75
873,639,4,753980
873,638,4,753981.25
874,638,4,753976
874,638,4,753976
873,636,4,753971.75
873,632,4,753961.25
873,632,4,753961.25
872,629,4,754131.75
872,629,4,754131.75
875,623,4,754234.5
876,622,4,754182.5
876,619,4,754207.75
877,616,7.90000000002328,754201.25
878,615,3.90000000002328,754409.25
879,613,3.90000000002328,754412
881,614,7.89999999990687,754493.25
883,615,3.90000000002328,754480
884,616,4,754554.5
885,615,7.80000000004657,754476
887,615,3.90000000002328,754474.5
886,615,4,754475.75
885,616,7.79999999993015,754555.75
886,616,4,754556
886,617,3.90000000002328,754557.25
885,618,7.80000000004657,754551.75
886,616,4,754556
886,614,3.89999999990687,754472
885,612,3.90000000002328,754467.75
885,612,4,754467.75
886,611,3.90000000002328,754459.75
886,610,3.90000000002328,754456
887,610,3.90000000002328,754457.25
888,610,4,754662.5
888,608,3.89999999990687,754666.5
890,609,3.90000000002328,754669.25
892,608,4,754672
892,609,3.90000000002328,754675.75
892,609,3.90000000002328,754675.75
761,588,43.1999999999534,550329.25
761,588,4,550329.25
759,586,7.80000000004657,550355.75
756,586,3.90000000002328,550364
750,585,4,550077.25
748,586,7.79999999993015,550070.5
747,586,4,550025.25
745,586,3.90000000002328,550029.25
744,587,7.80000000004657,550031.75
743,589,4,549996
742,590,3.89999999990687,549992
741,591,7.90000000002328,549990.5
740,592,3.90000000002328,550810.5
739,593,3.90000000002328,550820
738,594,8,550818.5
740,596,4,550794.5
741,598,4,550791.75
741,599,4,550788
742,600,4,550868
742,600,4,550868
741,600,4,550867.75
741,599,4,550788
740,599,4,550789.25
739,598,4,550841.25
738,597,4,550839.75
737,596,4,550835.75
734,595,4,549625.25
733,594,4,549623.75
731,593,4,549614.5
729,591,4,549692
727,589,4,549700
726,587,4,549753.25
725,587,4,549750.5
723,584,4,549743.75
724,584,4.09999999997672,549744
723,584,4,549743.75
723,583,4,549776
722,582,4,549778.5
722,581,4,549789.25
721,581,4,549784
721,581,8,549784
396,379,88,163637.25
394,378,4,163618.5
393,378,4,163623.75
392,379,4,163621.25
391,379,4,163802.5
390,381,4,163815.75
391,381,4,163814.5
391,382,4,163817.25
394,383,4,163603.75
395,385,4,164078.5
398,386,4,164088
400,386,4,164110.5
401,386,4,164109.25
402,386,4,164104
404,386,4,164150.5
406,386,4,164146.5
408,385,8,164163.75
410,384,4,164174.5
411,384,4,164175.75
412,385,8,164177.25
414,385,4,164183.75
416,385,4,167593.25
418,386,8,167586.5
420,387,4,167605.25
422,387,4,167609.25
422,387,8,167609.25
424,386,4,167630.5
424,386,4,167630.5
424,386,8,167630.5
424,386,4,167630.5
424,385,4,167617.25
423,383,8,160064
423,382,4,160067.75
422,380,4,160070.5
421,378,8,160119.75
420,377,4,160115.75
420,376,4,160112
420,376,8,160112
420,375,4,160143.75
421,375,4,160142.5
421,373,4,160136
420,373,4,160139.75
420,372,4,160138.5
420,372,4.09999999997672,160138.5
419,372,8,160159.75
420,372,4,160138.5
420,371,4,160181.25
420,371,4,160181.25
419,370,4,160161.25
420,369,4,160179.75
282,402,43.8000000000466,190664
281,405,3.90000000002328,190674.5
278,407,3.89999999990687,190593.25
278,410,4,190584
278,411,3.90000000002328,190585.25
275,413,3.90000000002328,190558.5
271,413,4,191398.5
269,412,7.80000000004657,191395.75
269,410,4,191389.25
268,410,3.89999999990687,191390.5
267,409,3.90000000002328,191372
266,409,4,191373.25
265,409,3.90000000002328,191362.5
264,408,3.90000000002328,191360
263,407,4,191274.5
262,406,3.90000000002328,191272
262,404,4,191278.5
262,403,3.89999999990687,191283.75
262,403,3.90000000002328,191283.75
263,403,4,191280
265,403,3.90000000002328,191302.5
266,404,3.90000000002328,191350.5
265,404,4,191353.25
266,404,3.90000000002328,191350.5
266,404,3.89999999990687,191350.5
265,404,4,191353.25
264,404,3.90000000002328,191354.5
262,404,3.90000000002328,191278.5
260,403,4,191285.25
258,402,3.90000000002328,191240
256,400,3.90000000002328,191232
253,398,3.89999999990687,212903.75
251,397,4,212892
250,395,7.80000000004657,212875.75
248,394,4,212878.5
246,392,3.90000000002328,212860
245,391,7.90000000002328,212780
244,390,3.89999999990687,212782.5
243,390,3.90000000002328,212787.75
243,390,7.90000000002328,212787.75
839,347,63.1999999999534,821626.5
845,342,4,821735.75
847,338,4,821745.25
848,337,4,821419.75
851,335,4,822106.5
853,335,4,822118.5
854,339,4,821393.25
855,341,4,821390.5
856,343,4,821375.75
859,344,4,821295.75
861,345,4,821298.5
863,348,4,821253.25
865,349,4,822610.5
866,351,4,822617.25
867,352,8,819877.25
868,354,4,819868
868,353,3.90000000002328,819867.75
869,352,8,819865.25
869,352,4,819865.25
869,351,4,822630.5
869,351,8,822630.5
869,351,4,822630.5
868,351,4,822629.25
867,349,8,822620
865,349,4,822610.5
864,347,4,822607.75
863,345,8,821308
861,344,4,821297.25
860,342,4,821318.5
857,341,8,821362.5
856,339,4,821359.75
854,337,3.90000000002328,821399.75
852,335,4,822117.25
851,333,4,822108
850,331,4,822091.75
850,329,4,822087.75
850,328,4,822084
849,327,4,822078.5
849,326,4,822077.25
849,325,4,822072
850,325,4,822071.75
850,324,4,822070.5
851,324,4,822069.25
851,324,4,822069.25
852,324,4,822048
853,326,4,822061.25
853,326,4,822061.25
853,328,4,822139.75
855,330,4,822129.25
856,331,4,822159.75
857,332,4,822161.25
858,334,8,822168
859,334,4,822171.75
861,335,4,822182.5
863,335,8,822186.5
865,336,4,822529.25
867,335,4,822522.5
869,335,8,822468
871,334,4,822465.25
873,333,4,822456
873,333,8,822456
874,332,4,822454.5
875,331,4,822410.5
874,330,8,822408
1301,486,56,1202061.25
1306,490,4,1201954.5
1310,492,4,1201932
1308,493,4,1201929.25
1311,496,4,1201919.75
1311,496,4,1201919.75
1309,496,4,1201905.25
1307,496,4,1201903.75
1306,497,4,1201901.25
1306,499,4,1201891.75
1307,500,4,1201887.75
1307,500,4,1201887.75
1306,499,8,1201891.75
1306,502,4,1201874.5
1305,502,4,1201879.75
1304,502,8,1201878.5
1305,503,4,1201876
1304,503,4,1201877.25
1305,503,8,1201876
1305,502,4,1201879.75
1306,502,4,1201874.5
1307,503,8,1201872
1308,505,4,1201849.25
1310,507,4,1201843.75
1312,507,7.90000000002328,1202511.75
1313,507,4,1202508
1313,507,4,1202508
1313,506,8,1202509.25
1313,505,4,1202498.5
1313,503,4,1202494.5
1313,503,8,1202494.5
1312,502,4,1202492
1312,500,4,1202490.5
1310,499,8,1201913.25
1308,499,4,1201909.25
1306,498,4,1201890.5
1306,499,8,1201891.75
1304,499,4,1201893.25
1304,500,4,1201882.5
1302,501,4,1201703.75
1302,502,4,1201704
1303,502,4,1201705.25
1302,502,8,1201704
1304,504,4,1201792
1305,506,4,1201805.25
1308,507,4.09999999997672,1201845.25
1310,510,8,1201832
1312,514,4,1943212
1315,516,4,1943221.25
1315,516,8,1943221.25
1316,515,4,1943199.75
1316,515,4,1943199.75
1316,516,8,1943178.5
1316,518,4,1943174.5
1317,520,4,1943251.75
1320,519,8,1943167.75
1320,519,4,1943167.75
1321,519,4,1943164
1320,517,4,1943153.25
1322,516,4,1943156
1323,516,4,1943157.25
1325,516,4.09999999997672,1943115.75
1327,518,4,1943105.25
1328,519,4,1942975.75
1329,521,4,1942978.5
1329,521,4,1942978.5
1328,522,4,1942980
1327,523,4,1943098.5
1327,526,4,1943043.75
1326,527,4,1943041.25
1324,528,3.90000000002328,1943376
1324,529,4,1943377.25
1323,530,3.90000000002328,1943371.75
1401,530,39.4000000000233,1938637.25
1401,529,3.89999999990687,1938626.5
1402,528,3.90000000002328,1938628
1408,529,7.90000000002328,1927937.25
1411,526,4,1927923.75
1414,525,3.90000000002328,1927911.75
1417,523,7.90000000002328,1927716
1420,521,3.89999999990687,1927731.75
1422,521,3.90000000002328,1927741.25
1422,521,7.90000000002328,1927741.25
1425,521,4,1927618.5
1425,521,3.90000000002328,1927618.5
1427,521,7.90000000002328,1927628
1429,521,3.89999999990687,1927634.5
1429,521,3.90000000002328,1927634.5
1429,521,4,1927634.5
1429,521,3.90000000002328,1927634.5
1429,522,3.90000000002328,1927645.25
1427,522,4,1927627.75
1426,522,3.90000000002328,1927624
1425,522,4,1927623.75
1423,523,3.89999999990687,1927738.5
1422,524,3.90000000002328,1927686.5
1421,525,4,1927688
1419,524,3.90000000002328,1927711.75
1419,524,3.90000000002328,1927711.75
1417,525,4,1927704
1416,525,3.90000000002328,1927705.25
1415,524,4,1927909.25
1417,524,3.89999999990687,1927707.75
1418,523,3.90000000002328,1927715.75
1419,523,4,1927712
1420,521,3.90000000002328,1927731.75
1517,280,59.4000000000233,1244441.25
1520,277,4,1244337.25
1524,277,4,1244297.25
1526,273,7.90000000002328,1244311.75
1529,271,4,1245078.5
1528,266,4,1245070.5
1529,263,8,1245140
1530,260,4,1245148
1530,261,3.89999999990687,1245149.25
1529,260,8,1245147.75
1529,259,4,1245156
1529,258,4,1245159.75
1528,256,4,1245162.5
1527,255,4,1245248
1528,255,3.90000000002328,1245247.75
1528,254,4,1245246.5
1530,256,4,1245164
1530,257,4,1245165.25
1532,258,4,1245172
1535,259,4,1245178.5
1535,259,4,1245178.5
1536,260,3.90000000002328,1551024
1538,260,4,1551028
1539,261,4,1551030.5
1541,262,4,1550983.75
1542,263,4,1550979.75
1542,263,4,1550979.75
1542,264,4,1551060
1543,264,3.90000000002328,1551061.25
1543,264,4,1551061.25
1542,264,4,1551060
1542,264,8,1551060
1538,264,4,1551054.5
1533,263,4,1245134.5
1532,263,7.90000000002328,1245135.75
1534,264,4,1245116
1531,264,4,1245061.25
1528,264,8,1245056
1526,264,4,1245052
1521,263,3.89999999990687,1244990.5
1519,262,8,1244907.75
1519,259,4,1244912
1519,256,4,1244927.75
1521,254,7.90000000002328,1245271.75
869,161,64,1012376
875,162,4,1012323.75
877,163,4,1012318.5
869,165,4,1012360
872,168,4,1012266.5
872,169,4,1012265.25
869,172,8,1012451.75
867,173,4.09999999997672,1012468
865,174,4,1012477.25
866,177,8,1012487.75
868,177,4,1012537.25
868,178,4,1012534.5
866,178,8,1012488
864,179,4,1012495.75
864,181,4,1012499.75
866,183,8,1012505.25
866,187,4,1012705.25
867,190,4,1012729.25
869,191,8,1012676
870,194,4,1011384
871,195,4,1011386.5
870,195,8,1011385.25
870,196,4,1011334.5
870,196,4,1011334.5
870,198,8,1011330.5
870,197,4,1011335.75
866,196,4,1011356
867,194,8,1011361.25
864,191,4,1012735.75
860,187,4,1012789.25
858,185,8,1012781.25
854,183,4,1012867.75
851,182,4,1012921.25
850,180,8,1012916
848,180,4,1012912
846,179,4,1013235.75
846,178,4,1013234.5
845,177,3.90000000002328,1013240
842,176,3.90000000002328,1013188
842,176,4,1013188
842,177,3.90000000002328,1013191.75
842,177,3.90000000002328,1013191.75
843,177,4,1013190.5
845,178,3.89999999990687,1013239.75
848,178,7.90000000002328,1012908
849,177,3.90000000002328,1012904
1262,509,63,1157549.25
1260,497,3.90000000002328,1157619.75
1262,505,3.90000000002328,1157565.25
1259,508,4,1157535.75
1260,510,3.89999999990687,1157540
1261,513,3.90000000002328,1988184
1261,511,4,1157542.5
1262,513,3.90000000002328,1988183.75
1262,514,3.90000000002328,1988178.5
1258,515,4,1988193.25
1256,512,3.90000000002328,1988202.5
1254,513,3.89999999990687,1988247.75
1253,514,4,1988253.25
1251,516,3.90000000002328,1988277.25
1250,516,3.90000000002328,1988276
1249,516,4,1988275.75
1248,516,3.90000000002328,1988272
1248,517,3.90000000002328,1988273.25
1248,516,4,1988272
1248,517,3.89999999990687,1988273.25
1250,516,3.90000000002328,1988276
1250,517,7.90000000002328,1988279.75
1253,518,3.90000000002328,1988231.75
1255,519,4,1988224
1257,520,7.90000000002328,1988139.75
1260,519,3.89999999990687,1988165.25
1260,520,3.90000000002328,1988144
1261,520,7.90000000002328,1988145.25
1261,520,3.90000000002328,1988145.25
1260,522,4,1988148
1257,523,8,1988132
1258,525,4,1988125.25
1257,526,4,1988119.75
1253,528,8,1988411.75
1252,529,4,1988409.25
1250,530,4,1988360
1248,532,4,1988368
1246,534,4,1988840
1246,535,4,1988841.25
1245,537,4,1988632
1243,538,4,1988643.75
1243,539,4,1988640
1242,540,4,1988660
1240,540,4,1988656
1242,540,4,1988660
1241,540,4,1988659.75
1239,541,4,1988676
1238,541,4,1988679.75
1237,540,4,1988681.25
1237,539,4,1988726.5
1236,538,4,1988724
1237,536,4,1988721.25
1238,534,4,1988738.5
1241,531,4,1988812
1244,529,4,1988857.25
1246,527,8,1988865.25
1248,526,4,1988348
1252,529,4,1988409.25
1256,527,8,1988117.25
1259,527,4,1988112
1260,533,4,1988449.25
1263,533,8,1988454.5
1265,538,4,1987687.75
1267,537,4,1987694.5
1267,540,8,1987679.75
1266,543,4,1987667.75
1266,546,4,1987336
1265,548,8,1987385.25
1264,550,4,1987388
975,599,44,779072
978,599,4,778777.25
981,600,4,778969.25
980,600,4,778970.5
977,600,4,778985.25
973,602,4,779063.75
972,601,4,779059.75
969,598,4,779133.25
968,599,4,779135.75
966,598,4,779138.5
963,597,4,779190.5
960,597,4,779185.25
957,597,4,777288
954,597,4,777335.75
953,600,8,777259.75
949,598,4,777351.75
946,596,4,777396
946,594,8,777378.5
944,594,4,777388
943,594,4,777713.25
943,596,8,777711.75
942,598,4,777704
942,598,4,777704
941,599,8,777702.5
941,600,4,777497.25
940,601,4,777499.75
939,603,8,777504
939,605,4,777526.5
938,607,4,777531.75
938,609,8,776269.25
937,611,4,776262.5
937,611,4,776262.5
937,612,4,776313.25
937,614,4,776317.25
938,615,4,776305.25
938,615,4,776305.25
937,614,4,776317.25
938,613,4,776311.75
939,611,4,776266.5
940,610,4,776286.5
940,608,4,776272
940,606,4,777478.5
940,603,4,777503.75
939,600,4,777509.25
938,596,4,777694.5
937,594,4,777677.25
937,592,4,777667.75
938,591,4,777787.75
938,592,4,777668
936,592,4,777664
936,592,4,777664
935,593,8,777660
936,595,4,777679.75
936,598,4,777684
936,600,8,777514.5
937,603,4,777518.5
938,606,4,777528
938,608,8,776270.5
938,610,4,776264
938,612,4,776310.5
939,613,8,776308
938,615,4,776305.25
938,616,4,776334.5
938,616,8,776334.5
938,614,4,776306.5
938,614,4,776306.5
938,613,8,776311.75
939,613,4,776308
939,610,4,776267.75
939,610,4,776267.75
939,609,4,776268
939,607,4,777530.5
941,607,4,777476
941,606,8,777479.75
942,606,4,777474.5
943,609,4,776278.5
944,610,4,777126.5
947,611,4,777120
947,613,4,777118.5
948,614,4,777100
950,615,4,777089.25
951,617,4,777084
951,618,4,777083.75
952,617,4,777003.75
953,617,4,777000
952,616,4,777002.5
953,616,4,777001.25
953,615,4,777174.5
953,613,8,777170.5
953,611,4,777164
953,609,4,777154.5
953,607,4.09999999997672,777236
953,606,4,777239.75
954,604,4,777244
952,606,4,777238.5
953,606,8,777239.75
953,606,4,777239.75
954,605,4,777245.25
953,605,8,777240
953,606,4,777239.75
952,606,4,777238.5
952,605,7.80000000004657,777241.25
951,606,4,777449.25
951,606,3.89999999990687,777449.25
950,608,3.90000000002328,777150.5
950,607,4,777451.75
950,608,3.90000000002328,777150.5
950,608,4,777150.5
949,609,3.90000000002328,777138.5
948,609,3.90000000002328,777139.75
948,606,4,777454.5
948,608,3.89999999990687,777136
947,608,3.90000000002328,777135.75
948,608,4,777136
947,608,3.90000000002328,777135.75
946,606,3.90000000002328,777458.5
946,606,4,777458.5
945,604,3.90000000002328,777465.25
944,602,3.89999999990687,777412
943,600,4,777493.25
941,598,3.90000000002328,777703.75
941,598,3.90000000002328,777703.75
939,596,4,777695.75
939,596,7.80000000004657,777695.75
938,595,4,777675.75
937,593,3.89999999990687,777666.5
937,593,7.90000000002328,777666.5
937,592,3.90000000002328,777667.75
938,592,3.90000000002328,777668
938,593,7.90000000002328,777671.75
939,594,3.89999999990687,777673.25
939,594,4,777673.25
940,595,7.80000000004657,777717.25
940,596,4,777696
942,596,3.90000000002328,777710.5
941,596,7.90000000002328,777697.25
941,597,3.89999999990687,777698.5
941,596,4,777697.25
941,596,7.80000000004657,777697.25
941,595,4,777716
940,594,3.90000000002328,777718.5
940,593,3.90000000002328,777721.25
940,592,4,777722.5
940,592,3.89999999990687,777722.5
939,591,3.90000000002328,777786.5
939,589,4,777782.5
939,587,3.90000000002328,777760
939,586,3.90000000002328,777763.75
940,585,4,777755.75
939,584,3.90000000002328,777765.25
939,581,3.89999999990687,777948
939,579,4,777930.5
938,578,4,777928
938,577,4,777927.75
938,575,4,772883.75
938,574,4,772882.5
938,574,4,772882.5
938,574,4,772882.5
938,574,4,772882.5
938,574,3.90000000002328,772882.5
940,576,8,777978.5
940,578,4,777974.5
941,580,4,777953.25
942,582,7.90000000002328,777960
943,585,4,777748
943,586,4,777747.75
793,443,55.6999999999534,837260
792,443,4,837263.75
792,441,4,837249.25
790,441,3.90000000002328,837245.25
788,439,4,837167.75
784,437,4,837179.75
783,435,4,837114.5
780,434,4,837108
779,434,3.90000000002328,837089.25
779,433,4,837102.5
780,433,4,837107.75
779,431,4,836784
780,430,4,836782.5
780,429,4,836769.25
778,428,3.90000000002328,836790.5
779,427,4,836746.5
779,425,4,836748
778,426,4,836744
779,426,4,836747.75
779,426,3.90000000002328,836747.75
779,426,4,836747.75
779,427,4,836746.5
779,428,8,836789.25
778,428,3.89999999990687,836790.5
777,429,4,836792
778,430,8,836786.5
777,430,4,836797.25
777,430,4,836797.25
777,430,8,836797.25
777,430,4,836797.25
777,428,4,836793.25
777,426,8,836743.75
778,421,4,836727.75
778,421,4,836727.75
779,418,8,836683.75
780,415,4,836367.75
781,415,4,836366.5
781,416,7.90000000002328,836691.75
782,415,4,836353.25
782,416,4,836692
782,414,8,836354.5
782,414,4,836354.5
781,415,4,836366.5
780,415,4,836367.75
780,416,4,836688
779,417,4,836684
778,419,4,836681.25
777,418,4,836679.75
777,418,4,836679.75
776,419,4,836677.25
