x,y,t,h
810,679,431.599999999627,746107.75
812,685,8,745995.75
811,683,4,746016
809,684,4,746011.75
804,685,8,746209.25
810,683,4,746019.75
810,680,4,746028
812,676,4,746058.5
812,673,4,746075.75
810,673,4,746087.75
808,672,4,746090.5
808,666,8,748942.5
807,663,4,748842.5
806,658,3.90000000037253,748824
804,653,7.90000000037253,748745.25
804,650,3.90000000037253,748764
803,650,3.89999999850988,748771.75
803,653,7.90000000037253,748790.5
803,648,3.90000000037253,748773.25
801,646,4,748567.75
798,642,7.80000000074506,748536
799,637,4,758788
797,639,3.89999999850988,758798.5
796,640,7.90000000037253,748528
795,640,3.90000000037253,748527.75
794,640,4,748524
791,640,3.90000000037253,748309.25
791,639,3.90000000037253,759018.5
790,638,4,759016
788,638,3.89999999850988,759022.5
788,638,3.90000000037253,759022.5
788,638,4,759022.5
788,639,3.90000000037253,759023.75
789,640,3.90000000037253,748307.75
791,640,4,748309.25
794,639,3.90000000037253,758803.75
794,639,3.89999999850988,758803.75
796,637,4,758795.75
796,636,3.90000000037253,758794.5
796,635,3.90000000037253,758837.25
797,635,4,758838.5
797,635,3.90000000037253,758838.5
797,635,4,758838.5
796,633,3.90000000037253,758835.75
562,645,59,583095.75
557,640,3.89999999850988,583257.25
555,638,4,530843.75
550,638,7.90000000037253,530792
545,638,3.90000000037253,530775.75
547,638,3.90000000037253,530779.75
546,639,7.90000000037253,530777.25
547,640,4,583333.25
545,641,4,583336
542,641,8,584023.75
540,639,4,530085.25
537,640,4,584041.25
537,644,4,584051.75
536,646,4,584062.5
535,649,4,584150.5
538,649,4,583981.25
540,646,4,584006.5
541,646,4,584007.75
541,646,4,584007.75
542,647,4,584003.75
541,647,4,584004
540,651,4,583989.25
540,652,4,583946.5
539,651,4,583968
540,652,3.89999999850988,583946.5
539,652,4,583967.75
538,654,4,583954.5
537,655,4,583956
536,657,4,583873.25
535,657,4,583868
536,657,4,583873.25
538,655,8,583955.75
539,653,4,583966.5
543,653,4,583940
543,658,8,583921.25
543,662,4,583915.75
544,657,4,583425.25
544,659,8,583439.75
544,658,4,583438.5
544,658,4,583438.5
544,657,8,583425.25
542,656,4,583932
540,660,3.90000000037253,583904
539,662,8,583899.75
537,664,4,583721.25
975,871,68,707776
976,871,4,707861.25
980,876,4,708042.5
984,879,4,708031.75
990,882,4,708184
995,882,4,704929.25
1000,878,4,705086.5
1000,877,4,705073.25
1003,877,8,705078.5
1004,880,4,705018.5
1004,880,4,705018.5
1005,880,8,705019.75
1005,882,4,705015.75
1004,879,4,705029.25
1003,878,8,705081.25
1002,875,4,705057.25
998,875,4,705145.25
997,877,8,705096
996,881,4,704947.75
993,886,4,704919.75
993,886,8,704919.75
994,886,4,704914.5
995,884,4,704927.75
995,885,4,704926.5
997,889,4,704882.5
998,891,4,704889.25
998,893,4,704839.75
1000,895,3.90000000037253,704831.75
1001,896,4,703553.25
1003,896,4,703567.75
1004,895,4,704773.25
1006,896,4,703572
1006,897,4,703575.75
1006,898,4,703576
1007,898,4,703577.25
1008,896,4,704426.5
1010,891,4,704713.25
1010,889,4,704717.25
1010,888,4,704718.5
1010,888,4,704718.5
1010,889,4,704717.25
1009,888,4,704705.25
1009,885,8,704690.5
1010,884,4,704692
1010,883,4,704673.25
1010,878,8,705368
1009,876,4,705361.25
1008,873,4,705345.25
1008,873,8,705345.25
1009,873,4,705346.5
1010,872,4,705348
1011,872,8,705349.25
1011,870,4,705331.75
1013,871,4,705324
1012,870,8,705326.5
1012,871,4,705327.75
639,912,52,622335.75
657,907,4,623460
681,904,4,623747.75
678,898,4,623640
664,897,4,623553.25
657,896,4,623531.75
652,896,4,622672
653,899,4,622684
651,900,4,622709.25
652,901,4,622689.25
653,905,4,622738.5
652,907,4,622751.75
650,909,4,622775.75
647,913,4,622870.5
645,915,4,622876
644,918,4,622894.5
643,920,4,622917.25
643,921,8,622918.5
643,921,4,622918.5
644,920,4,622970.5
643,921,8,622918.5
643,920,4,622917.25
644,919,4,622895.75
644,918,8,622894.5
645,917,4,622882.5
646,915,4,622875.75
647,914,8,622873.25
648,912,4,623082.5
649,912,4,623083.75
650,910,8,622770.5
650,908,4,622774.5
651,905,3.90000000037253,622732
652,905,4,622737.25
652,905,3.90000000037253,622737.25
652,904,3.89999999850988,622736
652,903,4,622703.75
651,901,3.90000000037253,622708
649,900,3.90000000037253,622713.25
648,900,4,622714.5
645,899,3.90000000037253,622644
645,901,3.90000000037253,622626.5
644,901,4,622627.75
644,900,3.89999999850988,622624
642,899,3.90000000037253,622603.75
644,897,4,622649.25
645,896,3.90000000037253,622651.75
645,895,3.90000000037253,644430.5
649,895,4,644412
650,895,3.90000000037253,644411.75
653,894,3.89999999850988,644359.75
654,894,4,644354.5
656,893,7.80000000074506,644347.75
657,893,4,644344
657,894,3.90000000037253,644349.25
659,895,7.90000000037253,644336
659,895,3.89999999850988,644336
659,896,3.90000000037253,623535.75
658,893,7.90000000037253,644343.75
656,892,3.90000000037253,644346.5
655,893,4,644366.5
652,897,7.79999999888241,622673.25
653,896,4,622675.75
652,901,3.90000000037253,622689.25
649,901,7.90000000037253,622712
646,902,3.90000000037253,622632
643,903,3.90000000037253,622618.5
641,903,4,622614.5
638,905,3.89999999850988,622359.75
636,908,3.90000000037253,622346.5
634,910,4,622392
633,912,3.90000000037253,622315.75
633,912,3.90000000037253,622315.75
633,913,4,622312
632,912,3.90000000037253,622314.5
634,912,3.89999999850988,622316
637,911,4,622340
640,906,3.90000000037253,622828
640,905,3.90000000037253,622827.75
641,901,4,622610.5
641,902,3.90000000037253,622615.75
642,902,3.90000000037253,622616
642,900,4,622622.5
643,900,4,622623.75
642,902,4,622616
642,903,4,622617.25
641,902,4,622615.75
641,903,4,622614.5
640,905,4,622827.75
639,905,4,622356
640,905,8,622827.75
640,903,4,622613.25
641,899,3.89999999850988,622604
642,904,8,622822.5
641,910,4,622845.25
641,908,4,622835.75
641,901,8,622610.5
641,900,4,622609.25
641,898,4,622605.25
641,890,8,644455.75
641,887,4,644500
641,884,4,644507.75
642,889,7.90000000037253,644461.25
642,888,4,644460
642,886,4,644498.5
1134,911,71.9000000003725,2086401.25
1139,911,4,2086384
1145,914,8,2086093.25
1151,913,4,2086142.5
1150,914,4,2086130.5
1158,912,8,2065302.5
1160,913,4,2065259.75
1166,911,4,2064553.25
1168,914,8,2064910.5
1170,915,4,2064907.75
1173,916,4,2064929.25
1175,916,8,2064943.75
1177,916,4,2065017.25
1177,917,4,2065016
1177,916,8,2065017.25
1179,916,4,2065013.25
1178,916,4,2065014.5
1177,919,8,2065022.5
1176,921,4,2065027.75
1175,921,4,2065108
1173,920,4,2065113.25
1172,921,4,2065115.75
1170,920,4,2065126.5
1169,919,4,2064918.5
1168,918,4,2064916
1167,919,4,2065216
1166,920,4,2065214.5
1164,922,4,2065204
1165,921,4,2065202.5
1165,920,4,2065201.25
1163,920,4,2065199.75
1162,921,4,2065197.25
1162,919,4,2065275.75
1162,918,4,2065272
1161,919,4,2065276
1161,920,4,2065195.75
1160,922,4,2065190.5
1159,922,4,2065369.25
1157,923,4,2065372
1155,924,4,2065397.25
1153,923,4,2065350.5
1154,922,4,2065352
1154,921,4,2065357.25
1152,922,4,2065348
1152,922,8,2065348
1151,921,4,2085908
1150,922,4,2085906.5
1151,921,8,2085908
1153,921,4,2065346.5
1154,921,4,2065357.25
1155,920,8,2065359.75
1157,920,4,2065363.75
1158,920,4,2065364
1158,922,8,2065368
1160,923,4,2065189.25
1161,925,4,2065176
1161,926,4,2065175.75
1161,925,4,2065176
1161,924,4,2065179.75
1159,921,4,2065366.5
1159,922,4,2065369.25
1159,924,3.90000000037253,2065381.25
1157,926,3.90000000037253,2065389.25
1156,927,3.89999999850988,2065391.75
1154,928,4,2065412
1155,927,3.90000000037253,2065392
1156,927,3.90000000037253,2065391.75
1156,924,3.90000000037253,2065376
1160,925,4,2065177.25
1158,924,3.90000000037253,2065380
1160,925,3.89999999850988,2065177.25
1163,925,3.90000000037253,2065182.5
1165,922,4,2065207.75
1494,917,62.7000000011176,1841287.75
1496,916,4,1841360
1501,914,3.89999999850988,1841399.75
1501,911,7.80000000074506,1841422.5
1502,908,4,1841414.5
1502,909,3.90000000037253,1841415.75
1505,910,7.79999999888241,1840893.25
1506,910,4,1840882.5
1506,910,3.90000000037253,1840882.5
1505,908,3.90000000037253,1840889.25
1504,910,3.90000000037253,1840892
1503,912,4,1841407.75
1504,914,3.90000000037253,1840910.5
1503,913,3.89999999850988,1841406.5
1503,915,3.90000000037253,1841392
1500,916,4,1841376
1502,916,3.90000000037253,1841390.5
1500,915,3.90000000037253,1841397.25
1501,915,3.90000000037253,1841396
1500,914,4,1841398.5
1499,914,3.89999999850988,1841353.25
1499,911,3.90000000037253,1841424
1500,910,3.90000000037253,1841420
1503,907,4,1841466.5
1503,908,3.90000000037253,1841413.25
1502,906,3.90000000037253,1841464
1503,903,4,1841472
1501,902,4,1841479.75
1500,903,8,1841477.25
1499,902,4,1841529.25
1499,901,4,1841526.5
1501,902,8,1841479.75
1502,902,4,1841474.5
1500,904,4,1841456
1501,901,8,1841480
1502,901,4,1841485.25
1503,902,4,1841473.25
1504,903,8,1840831.75
1505,902,4,1840829.25
1507,899,4,1840800
1510,898,8,1840786.5
1510,897,4,1840791.75
1511,896,4,1840789.25
1511,896,8,1840789.25
1512,897,4,1840747.75
1513,897,4,1840744
1513,895,4,1894806.5
1514,894,4,1894808
1516,894,4,1894820
1518,894,4,1894824
1519,895,4,1894826.5
1499,259,64,1241418.5
1497,260,4.09999999962747,1241465.25
