x,y,t,h
1131,537,20,2004876
1130,537,4,2004877.25
1129,537,4,2004866.5
1131,536,4,2004879.75
1130,536,4,2004878.5
1132,536,4,2004880
1132,537,4,2004881.25
1130,537,4,2004877.25
1131,538,4,2004875.75
1129,539,4,2004870.5
1128,542,4,2004924
1127,547,4,2003642.5
1124,552,4,2003568
1121,558,4,2003543.75
1118,562,4,2006616
1116,568,4,2006672
1114,574,4,2006706.5
1114,577,4,2001901.25
1113,582,4,2001879.75
1113,583,4,2001876
1113,587,4,2001804
1113,589,4,2001810.5
1112,590,8,2001812
1112,591,4,2001813.25
1112,591,4,2001813.25
1110,591,7.90000000037253,2001769.25
1110,589,3.89999999944121,2001773.25
1110,586,3.90000000037253,2001778.5
1110,584,7.89999999944121,2001788
1110,582,3.90000000037253,2001704
1111,580,3.90000000037253,2001701.25
1111,578,7.89999999944121,2001689.25
1112,577,3.90000000037253,2001897.25
1113,575,3.89999999944121,2006718.5
1116,573,7.90000000037253,2006689.25
1118,571,3.90000000037253,2006683.75
1120,570,3.89999999944121,2003302.5
1122,569,7.90000000037253,2003309.25
1124,569,3.89999999944121,2003315.75
1125,568,3.90000000037253,2003313.25
1126,568,4,2003326.5
1128,567,3.90000000037253,2003413.25
1130,567,3.89999999944121,2003417.25
1129,567,4,2003414.5
1130,570,3.90000000037253,2003234.5
1130,572,3.89999999944121,2003252
1128,578,3.90000000037253,2001988
1128,582,4,2002044
1127,585,3.90000000037253,2002132
1127,587,3.89999999944121,2002128
1126,592,3.90000000037253,2002196
1126,594,4,2002200
1127,596,3.89999999944121,2002213.25
1127,598,3.90000000037253,2002217.25
1127,602,3.90000000037253,2002289.25
1126,602,4,2002290.5
1127,604,3.89999999944121,2002287.75
1127,605,3.90000000037253,2002284
1128,605,4,2002323.75
1129,603,7.79999999981374,2002316
1129,602,3.90000000037253,2002317.25
1129,598,4,2002391.75
1131,591,7.79999999981374,2002096
1130,588,3.89999999944121,2002102.5
1132,583,4,2002031.75
1133,583,7.80000000074506,2002028
1133,582,4,2002029.25
1134,581,3.89999999944121,2002023.75
1134,578,7.79999999981374,2002008
1134,575,4,2003203.75
1134,576,3.90000000037253,2002004
1130,575,7.79999999981374,2003259.75
1131,576,4,2001999.75
1130,578,3.90000000037253,2001992
1128,577,7.89999999944121,2001987.75
1125,578,4,2001975.75
1123,578,4,2001929.25
1121,577,4,2001922.5
1119,577,4,2001916
1120,579,4,2001935.75
1118,580,4,2001862.5
1116,581,4,2001867.75
1116,584,4,2001850.5
1113,584,4,2001795.75
1111,587,4,2001776
1110,592,4,2001046.5
1108,596,4,2001034.5
1107,600,4,2001103.75
1105,604,4,2001145.25
1103,606,4,2001153.25
1100,609,4,2000633.25
1098,609,4.10000000055879,2000583.75
1096,612,4,2000592
1094,613,4,2000519.75
1093,615,4,2000526.5
1091,615,4,2000528
1089,615,8,2000532
1087,613,4,2013542.5
1084,611,4,2013535.75
1083,607,8,2012848
1082,605,4,2012855.75
1081,602,4,2012807.75
1082,599,8,2012785.25
1082,597,4,2012791.75
1082,595,4.09999999962747,2012745.25
1084,592,8,2012752
1086,589,4,2012583.75
1086,588,4,2012580
1088,587,8,2001509.25
1089,586,4,2001511.75
1092,587,4,2001525.25
1092,587,4,2001525.25
1094,587,4,2001529.25
1092,588,4,2001482.5
1092,590,4,2001484
1092,591,4,2001487.75
1092,592,4,2001328
1092,594,4,2001332
1092,596,4,2001290.5
1092,597,4.10000000055879,2001291.75
1092,600,4,2001264
1091,603,4,2001248
1090,605,4,2001245.25
1088,606,4,2001238.5
1160,920,52,2065194.5
1162,926,4,2065170.5
1161,927,8,2065172
1164,930,4,2065502.5
1165,931,4,2065500
1165,934,8,2065517.25
1164,935,4,2065519.75
1163,937,4,2065548
1163,940,8,2065589.25
1163,941,4,2065588
1163,942,4,2065587.75
1162,941,8,2065591.75
1162,940,4,2065590.5
1163,940,4,2065589.25
1164,939,8,2065567.75
1165,937,4,2065554.5
1165,936,4,2065555.75
1165,934,8,2065517.25
1165,933,4,2065506.5
1165,932,4,2065507.75
1165,931,8,2065500
1166,929,4,2065495.75
1167,928,4.09999999962747,2065493.25
1167,928,4,2065493.25
1168,927,4,2065151.75
1168,925,4,2065137.25
1167,924,4,2065157.25
1168,923,8,2065135.75
1168,920,4,2065130.5
1167,919,4,2065216
1168,917,8,2064915.75
1168,915,4,2064911.75
1167,915,4,2065232
1166,914,8,2065234.5
1166,912,4,2065238.5
1167,912,4,2065237.25
1166,912,8,2065238.5
1166,911,4,2064553.25
1166,911,4,2064553.25
1165,912,8,2065241.25
1166,912,4,2065238.5
1165,912,3.90000000037253,2065241.25
1165,912,4,2065241.25
1166,913,3.89999999944121,2065239.75
1166,913,3.90000000037253,2065239.75
1166,914,4,2065234.5
1165,913,3.89999999944121,2065240
1166,913,3.90000000037253,2065239.75
1166,915,4,2065233.25
1167,914,3.90000000037253,2065235.75
1167,914,4,2065235.75
1168,914,3.89999999944121,2064910.5
1168,913,3.90000000037253,2064897.25
1335,1003,43.2999999998137,1855962.5
1337,1007,4,1855764
1341,1003,3.90000000037253,1855798.5
1345,1007,3.89999999944121,1854550.5
1347,1010,4,1855395.75
1349,1012,3.90000000037253,1855371.75
1351,1014,7.89999999944121,1855361.25
1354,1014,3.90000000037253,1855352
1355,1014,4,1855353.25
1357,1010,7.79999999981374,1855325.25
1358,1009,4,1855319.75
1359,1010,3.90000000037253,1855315.75
1358,1007,7.89999999944121,1854633.25
1357,1008,3.90000000037253,1855321.25
1356,1009,4,1855323.75
1356,1008,7.79999999981374,1855322.5
1354,1008,4,1855334.5
1353,1006,3.90000000037253,1854615.75
1351,1007,7.89999999944121,1854570.5
1349,1007,3.90000000037253,1854566.5
1349,1009,3.90000000037253,1855384
1349,1008,4,1855385.25
1347,1008,3.89999999944121,1855397.25
1347,1009,3.90000000037253,1855396
1347,1009,4,1855396
1345,1009,3.89999999944121,1855400
1345,1009,3.90000000037253,1855400
1344,1009,4,1855403.75
1343,1009,4,1855742.5
1344,1007,4,1854549.25
1344,1006,3.90000000037253,1854548
1343,1005,4,1855748
1342,1006,4,1855746.5
1344,1004,4,1854544
1344,1003,4,1854543.75
1345,1001,4,1854530.5
1347,1000,4,1854533.25
1348,998,4,1854510.5
1350,997,3.89999999944121,1854503.75
1356,996,4,1854666.5
1356,995,8,1854709.25
1358,993,4,1854717.25
1359,990,4,1854377.25
1361,989,8,1853528
1361,989,3.90000000037253,1853528
1359,989,4,1854374.5
1359,990,8,1854377.25
1359,990,4,1854377.25
1356,990,4,1854382.5
1357,991,8,1854380
1357,992,3.89999999944121,1854705.25
1356,994,4,1854708
1359,996,8,1854661.25
1361,998,4,1854743.75
1364,998,4,1854756
1363,999,8,1854746.5
1366,999,3.90000000037253,1854761.25
1372,999,4,1854831.75
1375,1000,4,1854869.25
1377,1000,4,1852011.75
1379,1000,4,1852015.75
1378,1000,4,1852012
1377,1000,4,1852011.75
1374,999,3.90000000037253,1854827.75
1374,997,4,1854823.75
1372,996,4,1854816
1372,994,4,1854814.5
1373,993,4,1854802.5
1370,993,4,1854797.25
1370,990,4,1853496
1372,988,4,1853450.5
1376,986,3.89999999944121,1853420
1375,984,4,1853461.25
1377,983,4,1853206.5
1381,981,4,1853218.5
1382,982,4,1853224
1386,982,4,1853298.5
1390,980,8,1853284
1391,979,4,1853274.5
1394,978,4,1852578.5
1395,976,8,1852591.75
1392,975,4,1852927.75
1390,975,3.90000000037253,1852929.25
1389,975,8,1852942.5
